Nível de Ensino,Nome do Curso,Campus,Turno,Entrada Semestra/Anual,Vagas Anuais,Tempo de Curso em Anos,Data da Apuração
TÉCNICO INTEGRADO,CURSO TÉCNICO DE NÍVEL MÉDIO EM ELETROMECÂNICA (CONCOMITANTE),CAMPUS LEOPOLDINA,NOTURNO,ANUAL,15,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,CURSO TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA (CONCOMITANTE),CAMPUS LEOPOLDINA,NOTURNO,ANUAL,15,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES - MODALIDADE SUBSEQUENTE (SUBSEQUENTE),CAMPUS TIMÓTEO,NOTURNO,ANUAL,17,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM DESENVOLVIMENTO DE SISTEMAS,CAMPUS TIMÓTEO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES (INTEGRADO),CAMPUS VARGINHA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,ELETROTÉCNICA (SUBSEQUENTE),CAMPUS NEPOMUCENO,NOTURNO,ANUAL,24,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,MECATRÔNICA (CONCOMITANTE EXTERNO),CAMPUS NEPOMUCENO,NOTURNO,ANUAL,8,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETROELETRÔNICA,CAMPUS CONTAGEM,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,32,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM INFORMÁTICA,CAMPUS CONTAGEM,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,32,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM INFORMÁTICA,CAMPUS VARGINHA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,CAMPUS CURVELO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETROTÉCNICA,CAMPUS CURVELO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,ELETROTÉCNICA (CONCOMITANTE EXTERNO),CAMPUS NEPOMUCENO,NOTURNO,ANUAL,8,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,MECATRÔNICA (SUBSEQUENTE),CAMPUS NEPOMUCENO,NOTURNO,ANUAL,24,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,CURSO TÉCNICO DE NÍVEL MÉDIO EM ELETROMECÂNICA (SUBSEQUENTE),CAMPUS LEOPOLDINA,NOTURNO,ANUAL,15,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,CURSO TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA - INTEGRADO,CAMPUS LEOPOLDINA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,30,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,CURSO TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA (SUBSEQUENTE),CAMPUS LEOPOLDINA,NOTURNO,ANUAL,15,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM CONTROLE AMBIENTAL,CAMPUS CONTAGEM,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,32,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,CAMPUS TIMÓTEO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,CAMPUS ARAXÁ,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,30,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES - MODALIDADE CONCOMITÂNCIA EXTERNA,CAMPUS TIMÓTEO,NOTURNO,ANUAL,17,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,CAMPUS ARAXÁ,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,16,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETROTÉCNICA,CAMPUS LEOPOLDINA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETROTÉCNICA,CAMPUS NEPOMUCENO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM HOSPEDAGEM (CONCOMITANTE),CAMPUS NOVA SUÍÇA,NOTURNO,SEMESTRAL,14,1 ANO + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM HOSPEDAGEM (SUBSEQUENTE),CAMPUS NOVA SUÍÇA,NOTURNO,SEMESTRAL,22,1 ANO + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM INFORMÁTICA,CAMPUS LEOPOLDINA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,30,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM INFORMÁTICA,CAMPUS DIVINÓPOLIS,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,20,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,CAMPUS ARAXÁ,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECATRÔNICA,CAMPUS VARGINHA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECATRÔNICA,CAMPUS NEPOMUCENO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECATRÔNICA - INTEGRADO,CAMPUS DIVINÓPOLIS,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MEIO AMBIENTE,CAMPUS CURVELO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM METALURGIA - MODALIDADE CONCOMITÂNCIA EXTERNA,CAMPUS TIMÓTEO,NOTURNO,ANUAL,20,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM METALURGIA - MODALIDADE SUBSEQUENTE (SUBSEQUENTE),CAMPUS TIMÓTEO,NOTURNO,ANUAL,20,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO,CAMPUS ARAXÁ,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM PRODUÇÃO DE MODA - INTEGRADO,CAMPUS DIVINÓPOLIS,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM QUÍMICA,CAMPUS TIMÓTEO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,38,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM REDES DE COMPUTADORES,CAMPUS NEPOMUCENO,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,34,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM EDIFICAÇÕES,CAMPUS NOVA SUÍÇA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,72,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM EDIFICAÇÕES (CONCOMITANTE),CAMPUS ARAXÁ,NOTURNO,ANUAL,18,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM EDIFICAÇÕES (SUBSEQUENTE),CAMPUS ARAXÁ,NOTURNO,ANUAL,12,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETROMECÂNICA (CONCOMITANTE ANUAL) ENTRADA SEMESTRAL,CAMPUS DIVINÓPOLIS,NOTURNO,ANUAL,30,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETROMECÂNICA (SUBSEQUENTE ANUAL)  ENTRADA SEMESTRAL,CAMPUS DIVINÓPOLIS,NOTURNO,ANUAL,30,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETROMECÂNICA (SUBSEQUENTE ANUAL),CAMPUS NOVA SUÍÇA,NOTURNO,ANUAL,22,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETROMECÂNICA(CONCOMITANTE),CAMPUS NOVA SUÍÇA,NOTURNO,ANUAL,8,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETRÔNICA,CAMPUS NOVA SUÍÇA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,105,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETRÔNICA (CONCOMITANTE-SEMESTRAL),CAMPUS NOVA SUÍÇA,NOTURNO,SEMESTRAL,8,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETRÔNICA (CONCOMITANTE),CAMPUS ARAXÁ,NOTURNO,ANUAL,15,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETRÔNICA (SUBSEQUENTE),CAMPUS ARAXÁ,NOTURNO,ANUAL,15,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETRÔNICA (SUBSEQUENTE),CAMPUS NOVA SUÍÇA,NOTURNO,SEMESTRAL,22,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETROTÉCNICA,CAMPUS NOVA SUÍÇA,NOTURNO,SEMESTRAL,20,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETROTÉCNICA,CAMPUS NOVA SUÍÇA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,72,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ELETROTÉCNICA (SUBSEQUENTE),CAMPUS NOVA SUÍÇA,NOTURNO,SEMESTRAL,20,2 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS,CAMPUS NOVA SUÍÇA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,36,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ESTRADAS,CAMPUS NOVA SUÍÇA,"MATUTINO, VESPERTINO E NOTURNO",ANUAL,20,3 ANOS + ESTÁGIO,09/09/2022
TÉCNICO INTEGRADO,TÉCNICO EM ESTRADAS (CONCOMITANTE),CAMPUS NOVA SUÍÇA,NOTURNO,SEMESTRAL,24,2 ANOS + ESTÁGIO,09/09/2022
