Departamento,Código da Disciplina,Descrição da Disciplina,Nível de Ensino,Curso(s),Carga Horária,Teórica/Prática,Cód. Pré-Requisitos,Cód. Co-Requisitos,Data da Apuração
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.0100,LEGISLAÇÃO E SEGURANÇA DO TRABALHO,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.033,TOPOGRAFIA,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES",120,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.043,TECNOLOGIA DAS CONSTRUÇÕES I,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.099,ESTRUTURAS I,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.52,PROJETO TÉCNICO E ARQUITETÔNICO,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,160,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.53,MATERIAIS CIMENTÍCIOS,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.54,PROJETO ARQUITETÔNICO ASSISTIDO,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.55,TECNOLOGIA DAS CONSTRUÇÕES 2,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,120,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.56,ESTRUTURAS 2,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,120,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.57,INSTALAÇÕES PREDIAIS,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,120,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4EDI.58,MECÂNICA DOS SOLOS,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
